10teams;2025;264600;230;12150;0.040
air04;8904;4225484;823;72965;1.510
air05;7195;5040116;426;52121;1.110
bab1;61152;11257844;60680;854392;5.860
brock400-1;400;40154;4988;23656;0.010
brock400-2;400;40028;4938;23434;0.010
C500-9;500;24836;5502;17704;0.000
dsjc500-5;500;124252;6217;53235;0.050
eil33.2;4516;19258666;32;44243;0.010
eilA101.2;65832;3623463372;100;959373;0.180
eilB101;2818;4080700;100;24120;0.350
eilD76.2;30588;751278306;75;381749;0.070
momentum1;5174;98848;42680;103198;0.020
mzzv11;10240;475060;9499;134603;0.280
neos-1208135;2322;134830;1040;24034;0.020
neos-1440225;1285;310792;330;14168;0.070
neos-1601936;4446;191436;3131;72500;0.030
neos-1605061;4111;184716;3474;93483;0.030
neos-1620770;792;33110;9296;19292;0.010
neos-693347;1576;68260;3192;113472;0.020
neos-785912;1380;96300;1714;16610;0.020
neos788725;352;8288;433;4912;0.000
neos-807456;1635;26784;840;4905;0.010
neos-849702;1737;98994;1041;19308;0.020
neos-932816;21007;1438808;30823;484926;1.120
neos-933638;32417;4064982;13658;187173;1.640
neos-935627;10301;162314;7859;40476;0.030
ns1116954;12648;391986;131991;410582;0.070
ns1208400;2883;196776;4289;81746;0.030
ns1686196;2738;1013948;4055;68529;0.440
ns1688347;2685;913218;4191;66908;0.450
ns1696083;7982;6259888;11063;384129;1.170
ns1745726;3208;1391082;4687;90278;0.460
ns1769397;3772;1324644;5527;117383;0.250
ns1830653;1629;77436;2932;100933;0.020
nw04;87482;6771189162;36;636666;0.120
p6b;462;11704;5852;11704;0.010
pw-myciel4;1059;30360;8164;17779;0.000
results;;;;;
rvb-sub;33765;645269210;225;984143;0.840
san400-5-1;400;79800;1617;41494;0.080
sanr400-5;400;79632;4190;34661;0.030
sanr400-7;400;47862;5054;26866;0.020
sp100_500_50_1;500;54654;100;2486;0.020
t1717;73885;140417274;551;325689;0.080
t1722;36630;38793778;338;133096;0.020
uct-subprob;2256;3242;1973;10147;0.000
